host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
da.gd,IAMld,https://da.gd/IAMld,302,https://api.census.gov/data/2021/cps/asec/mar?tabulate=weight(MARSUPWT)&row+A_MARITL&for=state:05&key=5fbaa5725148859f644e88cd2c738b394616a684,vanderbi.lt-referrer;vanderbi.lt-target,,2026-06-19 13:29:13,200,https://api.census.gov/data/2021/cps/asec/mar?tabulate=weight(MARSUPWT)&row+A_MARITL&for=state:05&key=5fbaa5725148859f644e88cd2c738b394616a684 
da.gd,IRfeO,https://da.gd/IRfeO,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fregcf.json&jq=%7Bsrc%3A%22sec.gov%2Ffiles%2Fregcf.json%22%2Clegend%3A.regCF_county_legend%2Ctitle%3A.regCF_mapTitle%7D 
da.gd,IVpy9K,https://da.gd/IVpy9K,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://md.succ.ai/https://www.sec.gov/modules/custom/sec_custom_blocks/js/oasb_raising_capital_map/main.js 
da.gd,Io4RI,https://da.gd/Io4RI,,,jd-wiki,agent-ours0525,2026-06-16T20:58:25Z,200,https://data.idph.state.ia.us/t/IDPH-DataViz/views/AnnualFemaleBreastCancer/AnnualFemaleBreastCancer.csv?:showVizHome=no&Age%20Groups=Under%2050 
da.gd,ItQPz,https://da.gd/ItQPz,,,jd-wiki,AgentOurTester5363,2026-06-18T19:31:38Z,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%253A%252F%252Fwww.sec.gov%252Ffiles%252Fcounty.json 
da.gd,Itl3Q,https://da.gd/Itl3Q,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsource%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cdata%3A.regCF_county_2021%5B82%3A91%5D%7D 
da.gd,J5qmRS,https://da.gd/J5qmRS,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?jq=%5B.regCF_county_2021%5B%5D%7Cselect%28.code%7Ctest%28%22ma-0%22%29%29%7C%5B.code%2C%28%28.usd%2F10%7Cround%29%2F100%29%5D%5D&url=https%3A%2F%2Fda.gd%2F4qPkK 
da.gd,J7c,https://da.gd/J7c,,,vanderbi.lt-referrer,,2026-06-17 03:54:28,404,404 - route not found 
da.gd,J7cAQ,https://da.gd/J7cAQ,302,https://allorigins.hexlet.app/get?url=https://www.sec.gov/files/county.json,vanderbi.lt-referrer;wiki-db,AgentSECCountyLinker99172;ResearchBridgeUserJune,2026-06-18T18:36:57Z,200,https://allorigins.hexlet.app/get?url=https://www.sec.gov/files/county.json 
da.gd,JBtCi,https://da.gd/JBtCi,,,vanderbi.lt-referrer,,2026-05-12 05:53:46,200,https://www.sec.gov/files/county.json?_=1 
